team,norm_auto_leave_points,norm_auto_note_points,norm_speaker_amplified_points,norm_speaker_unamplified_points,norm_amp_points,norm_endgame_park_points,endgame_trap_points,rank
6424,0.8051948051948052,0.6585778781038375,0.3675213675213676,0.6881489717668791,0.4805194805194805,0.07476635514018691,0.06474820143884892,1
4500,0.5541125541125541,0.4153498871331829,0.6695156695156697,0.35459360095260983,0.8025974025974025,0.4766355140186916,-0.007194244604316547,2
1730,0.6277056277056277,0.2917607223476298,0.19943019943019946,0.7954360716880747,0.34545454545454546,0.4205607476635514,-0.01798561151079137,3
5550,0.6017316017316017,0.4068848758465011,0.17663817663817666,0.5422952740236631,0.3688311688311688,0.8130841121495327,0.0035971223021582736,4
118,0.8095238095238095,0.42099322799097066,0.3504273504273505,0.5465872266416809,0.22857142857142856,0.34579439252336447,0.09712230215827339,5
2036,0.5151515151515151,0.11681715575620767,0.207977207977208,0.6821994551076631,0.3116883116883117,0.8504672897196262,0.0017985611510791368,6
4329,0.696969696969697,0.29345372460496616,0.15099715099715105,0.8392050344614141,0.35584415584415585,0.5981308411214953,0.00539568345323741,7
2333,0.35497835497835495,0.23758465011286684,0.05982905982905984,0.8034828783672786,0.04415584415584416,0.8130841121495327,0.059352517985611516,8
5484,0.7575757575757576,0.28498871331828446,0.1680911680911681,0.7001189277201441,0.3116883116883117,0.9158878504672896,-0.019784172661870505,9
1209,0.2813852813852814,0.26693002257336346,0.09116809116809119,0.750305204519941,0.1922077922077922,0.5887850467289719,0.0035971223021582736,10
1714,0.5627705627705628,0.5840857787810384,0.09116809116809119,0.8083713301723552,0.16103896103896104,0.6355140186915887,-0.07553956834532374,1
2491,0.6277056277056277,0.29909706546275394,0.4330484330484331,0.5043438170979352,0.49090909090909085,0.2336448598130841,-0.012589928057553958,2
4230,0.6017316017316017,0.39785553047404065,0.7948717948717949,0.29658821721544687,0.7766233766233767,0.16822429906542055,0.18165467625899281,3
3297,0.87012987012987,0.32054176072234764,0.17663817663817666,0.3020444566181371,0.4181818181818182,0.07476635514018691,0.433453237410072,4
2472,0.3939393939393939,0.25846501128668176,0.3133903133903134,0.36756706719115106,0.4675324675324675,0.6448598130841121,-0.01618705035971223,5
6147,0.7878787878787878,0.6439051918735892,0.1566951566951567,0.28503567207412445,0.13246753246753246,-0.02803738317757009,1,6
2062,0.8441558441558441,0.2906320541760723,0.3019943019943021,0.5682752731114343,0.45714285714285713,0.5514018691588785,-0.007194244604316547,7
2987,0.5021645021645021,0.2714446952595937,0.19373219373219377,0.550276479994283,0.2935064935064935,0.26168224299065423,-0.04136690647482015,8
5913,0.6666666666666666,0.23194130925507905,0.05982905982905984,0.5523171129479361,0.3584415584415584,0.29906542056074764,0,9
2501,0.329004329004329,0.24379232505643345,0.26210826210826216,0.31690898300285325,0.29090909090909095,-0.02803738317757009,0.0017985611510791368,10
1787,0.8787878787878787,0.5457110609480813,0.5384615384615385,0.5774578342879815,0.8649350649350649,0.42990654205607476,0.053956834532374105,1
325,0.7575757575757576,0.5152370203160271,0.4814814814814815,0.7024942370086306,0.42337662337662335,0.8691588785046729,-0.03956834532374101,2
3201,0.7402597402597402,0.6935665914221218,0.264957264957265,0.5440134217233403,0.3064935064935065,0.5233644859813085,0.11151079136690648,3
379,0.6233766233766234,0.541196388261851,0.24501424501424504,0.3761440283726431,0.5584415584415584,0.07476635514018691,0.5161870503597122,4
3015,0.6493506493506493,0.6930022573363431,0.2763532763532764,0.5546263482992276,0.49610389610389605,0.411214953271028,0.2823741007194245,5
4611,0.8225108225108224,0.3154627539503386,0.5242165242165243,0.49101987832807054,0.48831168831168825,0.42990654205607476,0.03776978417266187,6
2252,0.5844155844155844,0.39503386004514673,0.3247863247863248,0.6249693567261501,0.48831168831168825,0.7009345794392523,0.08093525179856116,7
6834,0.7012987012987013,0.20654627539503387,0.1253561253561254,0.5327564277025789,0.22077922077922077,0,0.014388489208633094,8
4121,0.5714285714285714,0.28047404063205417,0.10256410256410257,0.6492196584548842,0.2571428571428571,0.616822429906542,0.019784172661870505,9
144,0.8354978354978354,0.4514672686230249,0.29629629629629634,0.4736248984455667,0.3818181818181818,0.3644859813084112,-0.014388489208633094,10
4068,0.6103896103896104,0.4746049661399549,0.13960113960113962,0.9303179451204914,0.27792207792207796,0.14953271028037382,-0.01618705035971223,1
7426,0.7186147186147186,0.505079006772009,0.35897435897435903,0.7187838352647156,0.5168831168831168,0.07476635514018691,0.061151079136690656,2
1410,0.658008658008658,0.43397291196388266,0.13960113960113962,0.6024714285804014,0.187012987012987,0.34579439252336447,-0.008992805755395685,3
2240,0.7748917748917749,0.39503386004514673,0.15384615384615388,0.8615100386834482,0.2753246753246753,0.4766355140186916,0.048561151079136694,4
2122,0.8614718614718615,0.2658013544018059,0.22507122507122512,0.9532728157872238,0.3142857142857143,0.5233644859813085,0.04676258992805756,5
1339,0.8571428571428571,0.2895033860045147,0.2678062678062678,0.6556391885497105,0.4675324675324675,0.616822429906542,-0.0017985611510791368,6
3501,0.696969696969697,0.244920993227991,0.27350427350427353,0.5382056835850599,0.35064935064935066,0.7383177570093458,-0.00539568345323741,7
6560,0.8398268398268398,0.35440180586907455,0.35897435897435903,0.534005602564128,0.6077922077922078,0.48598130841121495,-0.0035971223021582736,8
3006,0.7142857142857142,0.21218961625282168,0.0626780626780627,0.8388752446915184,0.023376623376623374,0.3925233644859813,0.03956834532374101,9
4598,0.619047619047619,0.33182844243792325,0.025641025641025644,0.5731829430081745,0.15844155844155844,0.4205607476635514,-0.0017985611510791368,10
8613,0.4458874458874459,0.6467268623024831,0.12250712250712252,0.824423582149878,0.11428571428571428,0.3364485981308411,0,1
8806,0.6753246753246753,0.562076749435666,0.10541310541310543,0.5631553715180737,0.16623376623376623,0.4672897196261682,0,2
7632,0.7922077922077922,0.4452595936794583,0.22222222222222227,0.5953766033030707,0.44155844155844154,0.26168224299065423,0.0017985611510791368,3
6941,0.48051948051948057,0.5592550790067721,0.6780626780626781,0.49326010021378264,0.8987012987012987,0.5140186915887851,0.0017985611510791368,4
7539,0.2813852813852814,0.35045146726862303,0.09116809116809119,0.7066963296552164,0.2571428571428571,0.21495327102803738,0.0017985611510791368,5
7536,0.6147186147186147,0.3792325056433409,0.12820512820512822,0.7093902724147677,0.21558441558441557,0.5700934579439252,0.0017985611510791368,6
8561,0.5108225108225107,0.07336343115124154,0.008547008547008548,0.2714392984551534,0.0961038961038961,0.719626168224299,0,7
2905,0.5930735930735931,0.4102708803611738,0.22507122507122512,0.327873507263348,0.4701298701298701,0.4766355140186916,0,8
7444,0.6883116883116883,0.286117381489842,-0.011396011396011398,0.5351110309207333,0.12987012987012986,0.34579439252336447,0.0017985611510791368,9
8725,0.7835497835497836,0.40575620767494364,0.0028490028490028496,0.7426133658909791,0.11428571428571428,0.7757009345794391,0.0017985611510791368,10
1156,0.5324675324675324,0.6659142212189617,0.623931623931624,0.24853440271083088,0.8389610389610389,0.34579439252336447,0.07913669064748202,1
9602,0.5974025974025974,0.268058690744921,0.25641025641025644,0.6034412080789726,0.28051948051948056,0.8598130841121495,-0.0035971223021582736,2
9175,0.49350649350649345,0.1760722347629797,0.09116809116809119,0.7597687719493308,0.12727272727272726,0.3644859813084112,-0.007194244604316547,3
9085,0.4025974025974026,0.19469525959367948,-0.01994301994301995,0.6986565775362387,0.023376623376623374,0.24299065420560748,-0.00539568345323741,4
9199,0.48051948051948057,0.2793453724604966,0.2592592592592593,0.4405689521432974,0.4675324675324675,0.8785046728971961,0.0017985611510791368,5
9047,0.5454545454545454,0.19751693002257337,0.05982905982905984,0.4328445187485074,0.21558441558441557,0.5981308411214953,0.0017985611510791368,6
9484,0.49350649350649345,0.31207674943566593,0.03133903133903135,0.2857981333337386,0.17662337662337663,0.6355140186915887,0.059352517985611516,7
9604,0.7575757575757576,0.39503386004514673,0.11396011396011398,0.5952078438300392,0.2077922077922078,0.411214953271028,0.0017985611510791368,8
9458,0.6017316017316017,0.2471783295711061,0.3048433048433049,0.3505938530234814,0.5272727272727272,0.5700934579439252,-0.0017985611510791368,9
7563,0.658008658008658,0.2618510158013544,0.03418803418803419,0.5217969248495509,0.05194805194805195,0.14953271028037382,0.14568345323741008,10
3478,0.7445887445887446,0.4853273137697517,0.23931623931623935,0.7908065242311257,0.49090909090909085,0.7383177570093458,0.07014388489208634,1
7421,0.3116883116883117,0.4272009029345373,0.22507122507122512,0.5869545287471523,0.6155844155844156,0.6074766355140186,0.053956834532374105,2
4635,1,0.5547404063205418,0.12820512820512822,0.8478034466997483,0.2701298701298701,0.102803738317757,0.053956834532374105,3
4403,0.45021645021645024,0.42550790067720096,0.09971509971509973,0.9287114845038259,0.12727272727272726,0.5046728971962617,-0.00539568345323741,4
6017,0.619047619047619,0.16027088036117382,0.42735042735042744,0.27414058141096037,0.8493506493506493,0.44859813084112143,0.061151079136690656,5
3522,0.6623376623376623,0.4300225733634312,0.07122507122507124,0.5093252166568701,0.15064935064935064,0.43925233644859807,-0.0035971223021582736,6
6647,0.7748917748917749,0.10327313769751693,0.22792022792022795,0.3326699923641732,0.5272727272727272,0.44859813084112143,0.06474820143884892,7
5948,0.5497835497835498,0.4695259593679459,0.03133903133903135,0.5989237380465453,0.11948051948051948,0.5140186915887851,0,8
3158,0.7056277056277056,0.345372460496614,0.13675213675213677,0.5647419705439087,0.5038961038961038,1,-0.0035971223021582736,9
5959,0.5497835497835498,0.2387133182844244,0.1623931623931624,0.5275938615492536,0.48831168831168825,0.34579439252336447,-0.00539568345323741,10
581,0.5064935064935064,0.5953724604966141,0.47008547008547014,0.6615648508532025,0.45194805194805193,-0.08411214953271028,0.3219424460431655,1
1678,0.8138528138528138,1,0.7606837606837608,0.699553943030202,0.6311688311688312,0.29906542056074764,0.5089928057553957,2
841,0.6753246753246753,0.29232505643340856,0.2905982905982906,0.6729988425713287,0.22597402597402597,0.4579439252336448,0.05755395683453238,3
987,0.7142857142857142,0.5344243792325057,0.3561253561253562,0.733036576134888,0.48831168831168825,0.205607476635514,0.026978417266187053,4
604,0.670995670995671,0.5694130925507901,0.52991452991453,0.7993385174938988,0.6753246753246753,0.6915887850467289,0.012589928057553958,5
3256,0.5151515151515151,0.41309255079006774,0.3133903133903134,0.42899625257807217,0.24935064935064932,0.05607476635514018,-0.01798561151079137,6
2473,0.7229437229437229,0.1399548532731377,0.03418803418803419,1,0.1012987012987013,0.34579439252336447,-0.0341726618705036,7
100,0.44155844155844154,0.19808126410835214,0.29344729344729353,0.6062903680501796,0.5792207792207792,0.2336448598130841,0.01798561151079137,8
2288,0.45454545454545453,0.27313769751693,0.1965811965811966,0.568759461562073,0.33506493506493507,0.5794392523364486,-0.03776978417266187,9
1868,0.7359307359307359,0.1343115124153499,0.04558404558404559,0.5543813098147945,0.16623376623376623,0.4205607476635514,-0.04136690647482015,10
6036,0.5411255411255411,0.6636568848758465,0.5014245014245016,0.7757625665165903,0.6103896103896104,0.32710280373831774,-0.014388489208633094,1
4414,0.658008658008658,0.2979683972911964,0.17948717948717952,0.7877708483979908,0.1792207792207792,0.2803738317757009,0.2931654676258993,2
4481,0.6406926406926406,0.7065462753950339,0.3190883190883192,0.5356804208259852,0.43376623376623374,0.02803738317757009,0.061151079136690656,3
4201,0.9567099567099566,0.2855530474040632,0.17663817663817666,0.5716843883297472,0.3584415584415584,0.3364485981308411,0.13309352517985612,4
2102,0.5194805194805194,0.3064334085778781,0.3276353276353277,0.568134413321398,0.35324675324675325,0.2336448598130841,-0.048561151079136694,5
2485,0.6753246753246753,0.6331828442437925,0.3048433048433049,0.3543751269922183,0.5272727272727272,0.3177570093457944,0.08992805755395684,6
3647,0.7099567099567099,0.5338600451467269,0.3361823361823362,0.628883900704955,0.5246753246753246,0.6542056074766355,-0.01079136690647482,7
973,0.9090909090909091,0.1811512415349887,0.2592592592592593,0.8931068121326398,0.4181818181818182,0.5700934579439252,0.0341726618705036,8
1197,0.4458874458874459,0.3024830699774267,0.11396011396011398,0.4526196696850533,0.08311688311688312,0.34579439252336447,0.08453237410071943,9
5199,0.7445887445887446,0.3374717832957111,0.1253561253561254,0.4817711329220936,0.21558441558441557,0.29906542056074764,0.3183453237410072,10
1706,0.6753246753246753,0.79627539503386,0.8148148148148149,0.4655235995185758,0.6857142857142857,0.07476635514018691,0.31115107913669066,1
4522,0.6233766233766234,0.4723476297968397,1,0.3698581417189609,1,0.48598130841121495,0.11510791366906475,2
2718,0.41558441558441556,0.46106094808126413,-0.0028490028490028496,0.7287520413404995,0.04935064935064935,0.44859813084112143,-0.007194244604316547,3
1987,0.9653679653679653,0.4164785553047404,0.43019943019943024,0.6943632513279693,0.33506493506493507,0.13084112149532712,-0.00539568345323741,4
5801,0.7878787878787878,0.4977426636568849,0.15099715099715105,0.42503982797705253,0.3012987012987013,0.6635514018691588,-0.030575539568345328,5
4766,0.7705627705627706,0.40406320541760726,0.16524216524216526,0.43127442664103766,0.24675324675324672,0.5140186915887851,0.012589928057553958,6
1208,0.7056277056277056,0.29232505643340856,0.23646723646723647,0.895056411073898,0.23376623376623376,0.5981308411214953,-0.05575539568345324,7
9126,0.25541125541125537,0.2917607223476298,0.492877492877493,0.4329979904201234,0.638961038961039,0.5514018691588785,0.03597122302158274,8
5013,0.7489177489177489,0.5344243792325057,0.29344729344729353,0.6111344493124565,0.2961038961038961,0.27102803738317754,-0.03237410071942446,9
6391,0.7619047619047619,0.30869074492099324,0.42735042735042744,0.36585509825617946,0.587012987012987,0.6915887850467289,0.03776978417266187,10
7605,0.5670995670995671,0.5970654627539503,0.2507122507122508,0.3841104226916963,0.2987012987012987,0.3364485981308411,0.13309352517985612,1
3990,0.7445887445887446,0.44243792325056436,0.40740740740740744,0.5465551474346663,0.8103896103896104,0.6074766355140186,0.007194244604316547,2
5439,0.8398268398268398,0.4559819413092551,0.07692307692307694,0.5854453759129484,0.2025974025974026,0.16822429906542055,-0.01079136690647482,3
3996,0.5887445887445888,0.3374717832957111,0.3019943019943021,0.5611256515933998,0.42597402597402595,0.2897196261682243,-0.012589928057553958,4
4947,0.6623376623376623,0.4762979683972912,0.20512820512820515,0.4988407219129282,0.24935064935064932,0.4766355140186916,-0.0017985611510791368,5
5618,0.3852813852813853,0.2200902934537246,0.048433048433048444,0.5394938278582563,0.1922077922077922,0.14018691588785046,0.061151079136690656,6
5528,0.7792207792207793,0.45767494356659144,0.08831908831908833,0.44906023483742996,0.1012987012987013,0.21495327102803738,0.008992805755395685,7
3544,0.7705627705627706,0.32505643340857787,0.11965811965811968,0.44870373798741825,0.16623376623376623,0.43925233644859807,-0.008992805755395685,8
3360,0.31601731601731603,0.2737020316027088,0.09686609686609689,0.4237374497069686,0.24935064935064932,0.21495327102803738,-0.01618705035971223,9
9406,0.8181818181818181,0.2827313769751693,0.45014245014245025,0.3908173401329518,0.7350649350649351,0.14018691588785046,-0.0035971223021582736,10
